vereador,total,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,TELEFONE FIXO,TELEFONE MOVEL,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,INTERMEDIADO - CORREIOS,COMBUSTIVEL,CONTRATAÇAO DE PESSOA JURIDICA,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,INTERMEDIADO - LOCAÇÃO VEICULOS HIBRIDOS,EVENTOS/SEMINARIOS,PROVEDOR DE INTERNET,LIMPEZA DE VEICULOS,REPROGRAFIA (XEROX/ENCADERNAÇÃO),ASSINATURA DE JORNAIS E REVISTAS,CORREIOS,ESTACIONAMENTO,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),LIVROS,LUBRIFICANTE,APERFEIÇOAMENTO PROFISSIONAL,LOCAÇÃO DE VEICULOS HIBRIDOS,LOCAÇÃO DE VEÍCULOS
RUBINHO NUNES,122361.2,0.0,0.0,0.0,340.0,0.0,0.0,64840.0,52780.0,0.0,4401.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUSSARA BASSO,121052.68,0.0,0.0,0.0,5200.0,0.0,2668.82,64197.98,16980.0,0.0,7017.6,21730.06,0.0,0.0,0.0,660.0,348.22,0.0,0.0,0.0,0.0,0.0,2250.0,0.0,0.0
CRIS MONTEIRO,114525.76,19300.26,0.0,0.0,2013.91,0.0,3023.24,89063.81,0.0,0.0,1016.24,0.0,0.0,0.0,0.0,0.0,0.0,33.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0
MANOEL DEL RIO,108904.78,0.0,0.0,0.0,23040.0,0.0,2071.13,47850.0,9045.0,0.0,4835.5,18209.55,1990.7,0.0,0.0,84.0,1778.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDRA SANTANA,108768.66,0.0,0.0,0.0,38310.0,0.0,0.0,49543.0,8820.0,0.0,9678.55,0.0,1628.0,789.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURELIO NOMURA,108439.94,1838.12,0.0,0.0,10523.27,1361.2,8584.94,49447.0,5150.92,839.7,2922.32,23065.43,0.0,3874.5,832.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RODRIGO GOULART,104931.48,0.0,172.09,1964.86,10000.0,207.18,5201.11,19850.0,6650.0,31500.0,2722.55,25493.37,0.0,820.32,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THAMMY MIRANDA,103374.74,0.0,0.0,0.0,3000.0,0.0,7519.37,65800.0,0.0,0.0,1562.0,25493.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILSON AMADEU,93267.77,19300.26,1464.15,6290.32,21000.0,45213.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOÃO ANANIAS,91622.52,0.0,0.0,1021.81,21430.0,0.0,1626.31,30700.0,3080.0,19860.0,2581.55,7526.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3796.24
LUNA ZARATTINI,88861.85,0.0,0.0,0.0,23490.0,0.0,2289.79,37918.76,4435.0,0.0,3089.0,16388.6,0.0,0.0,0.0,1250.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FERNANDO HOLIDAY,83099.08,0.0,0.0,0.0,2709.76,0.0,1852.03,76919.0,0.0,0.0,1289.52,0.0,0.0,328.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELY TERUEL,82075.2,19300.26,0.0,112.73,0.0,3.25,4339.82,6293.0,29645.0,20110.0,1932.95,0.0,0.0,338.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANIEL ANNENBERG,79780.65,6892.95,0.0,145.98,0.0,0.0,2294.52,51000.0,19240.0,0.0,0.0,0.0,207.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBERTO TRIPOLI,79424.5,0.0,0.0,0.0,0.0,1684.5,0.0,76650.0,0.0,0.0,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR. NUNES PEIXEIRO,70270.74,16451.17,0.0,0.0,0.0,0.0,8192.13,34400.0,2295.0,0.0,5838.3,0.0,0.0,3083.34,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDUARDO MATARAZZO SUPLICY,69462.04,0.0,443.72,710.94,17599.4,136.16,0.0,37493.33,10680.66,1233.33,78.8,0.0,0.0,0.0,0.0,0.0,977.7,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0
RICARDO TEIXEIRA,62983.24,3676.24,0.0,0.0,0.0,0.0,0.0,39508.0,5675.0,12604.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HÉLIO RODRIGUES,59873.1,12407.31,0.0,0.0,15000.0,0.0,237.0,22796.0,4352.33,0.0,2669.76,0.0,2410.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORONEL SALLES,58498.18,11580.15,0.0,318.78,20003.94,0.0,3773.05,750.0,7080.0,2250.0,7089.6,5584.26,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MILTON LEITE,57363.19,19024.54,498.56,0.0,0.0,4273.09,9749.88,0.0,2823.76,0.0,20628.27,364.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
DONATO,56439.29,6801.04,357.04,912.42,0.0,350.66,1984.83,37500.0,1875.0,4232.0,2386.3,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FABIO RIVA,52575.55,10844.91,836.02,1192.42,11601.0,546.2,0.0,4000.0,17640.0,0.0,5915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAULO FRANGE,39615.12,0.0,0.0,0.0,0.0,692.02,2585.53,0.0,4200.0,0.0,6644.2,25493.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JULIANA CARDOSO,32110.73,0.0,0.0,325.81,6000.0,0.0,0.0,11150.0,1500.0,10100.0,0.0,3034.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REIS,23855.33,0.0,0.0,0.0,15000.0,0.0,1065.8,0.0,0.0,0.0,149.9,6919.63,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERIKA HILTON,17609.53,0.0,0.0,0.0,0.0,13490.3,477.32,0.0,0.0,0.0,0.0,3641.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FELIPE BECARI,14800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELEGADO PALUMBO,13167.42,2757.18,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,347.0,0.0,0.0,63.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOSÉ POLICE NETO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOSÉ OLÍMPIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
